id;curriculum;nameHu;nameEn;hasLearningMaterialHU;hasLearningMaterialEN
AF-Környezettudatosság-136;TA-Környezetvédelem_és_energia-136;Környezettudatosság;Environment_awarness;"<html><a href=\http://www.flickr.com/photos/halaszpano/3563212062/\"" title=\""kikapcs3 by halaszgezu, on Flickr\""><img src=\""http://farm4.static.flickr.com/3566/3563212062_dea9181389.jpg\"" width=\""500\"" height=\""500\"" alt=\""kikapcs3\"" /></a></html>  == A környezettudatosság fogalma ==  A környezettudatosság az egyes személyek vagy a társadalom valamely szegmensének a bioszféra állapotával és az emberi populáció környezetével kapcsolatos tájékozottságát, érzékenységét és tudatos felelősség vállalását kifejező fogalom, amelyet gyakran jelzői formában használnak.  == Referenciák == * [http://hu.wikipedia.org/wiki/K%C3%B6rnyezettudatoss%C3%A1g Wikipédia] * [http://kornyezettudatossag.linkcenter.hu/#kornyezettudatoscivilszervezetek Környezettudatosság.linkcenter.hu] *[http://phd.lib.uni-corvinus.hu/336/ Monostori, Katalin (2009) Környezettudatosság Magyarországon - Attitűd és cselekvés a szelektív hulladékgyűjtésben. Doktori (PhD) értekezés, Budapesti Corvinus Egyetem, Szociológia Doktori Iskola.] """;"'''Pollution''' is the introduction of contaminants into an environment that causes instability, disorder, harm or discomfort to the ecosystem i.e. physical systems or living organisms.[1] Pollution can take the form of chemical substances or energy, such as noise, heat, or light. Pollutants, the elements of pollution, can be foreign substances or energies, or naturally occurring, when naturally occurring, they are considered contaminants when they exceed natural levels. Pollution is often classed as point source or nonpoint source pollution. The Blacksmith Institute issues annually a list of the world's worst polluted places. In the 2007 issues the ten top nominees are located in Azerbaijan, China, India, Peru, Russia, Ukraine and Zambia.  ==Modern awareness==  Pollution became a popular issue after WW2, when the aftermath of atomic warfare and testing made evident the perils of radioactive fallout. Then a conventional catastrophic event The Great Smog of 1952 in London killed at least 8000 people. This massive event prompted some of the first major modern environmental legislation, The Clean Air Act of 1956.  Pollution began to draw major public attention in the United States between the mid-1950s and early 1970s, when Congress passed the Noise Control Act, the Clean Air Act, the Clean Water Act and the National Environmental Policy Act.  Bad bouts of local pollution helped increase consciousness. PCB dumping in the Hudson River resulted in a ban by the EPA on consumption of its fish in 1974. Long-term dioxin contamination at Love Canal starting in 1947 became a national news story in 1978 and led to the Superfund legislation of 1980. Legal proceedings in the 1990s helped bring to light Chromium-6 releases in California--the champions of whose victims became famous. The pollution of industrial land gave rise to the name brownfield, a term now common in city planning. DDT was banned in most of the developed world after the publication of Rachel Carson's Silent Spring. The development of nuclear science introduced radioactive contamination, which can remain lethally radioactive for hundreds of thousands of years. Lake Karachay, named by the Worldwatch Institute as the \most polluted spot\"" on earth, served as a disposal site for the Soviet Union thoroughout the 1950s and 1960s. Second place may go to the area of Chelyabinsk U.S.S.R. (see reference below) as the \""Most polluted place on the planet\"".  Nuclear weapons continued to be tested in the Cold War, sometimes near inhabited areas, especially in the earlier stages of their development. The toll on the worst-affected populations and the growth since then in understanding about the critical threat to human health posed by radioactivity has also been a prohibitive complication associated with nuclear power. Though extreme care is practiced in that industry, the potential for disaster suggested by incidents such as those at Three Mile Island and Chernobyl pose a lingering specter of public mistrust. One legacy of nuclear testing before most forms were banned has been significantly raised levels of background radiation.  International catastrophes such as the wreck of the Amoco Cadiz oil tanker off the coast of Brittany in 1978 and the Bhopal disaster in 1984 have demonstrated the universality of such events and the scale on which efforts to address them needed to engage. The borderless nature of atmosphere and oceans inevitably resulted in the implication of pollution on a planetary level with the issue of global warming. Most recently the term persistent organic pollutant (POP) has come to describe a group of chemicals such as PBDEs and PFCs among others. Though their effects remain somewhat less well understood owing to a lack of experimental data, they have been detected in various ecological habitats far removed from industrial activity such as the Arctic, demonstrating diffusion and bioaccumulation after only a relatively brief period of widespread use.  Growing evidence of local and global pollution and an increasingly informed public over time have given rise to environmentalism and the environmental movement, which generally seek to limit human impact on the environment.   ==How can people save energy at home?==  ==20 THINGS YOU CAN DO TO CONSERVE ENERGY==  Whenever you save energy, you not only save money, you also reduce the demand for such fossil fuels as coal, oil, and natural gas. Less burning of fossil fuels also means lower emissions of carbon dioxide (CO2), the primary contributor to global warming, and other pollutants.    ==Home appliances==  Turn your refrigerator down. Refrigerators account for about 20% of Household electricity use. Use a thermometer to set your refrigerator temperature as close to 37 degrees and your freezer as close to 3 degrees as possible. Make sure that its energy saver switch is turned on. Also, check the gaskets around your refrigerator/freezer doors to make sure they are clean and sealed tightly.  Set your clothes washer to the warm or cold water setting, not hot.   Make sure your dishwasher is full when you run it and use the energy saving setting, if available, to allow the dishes to air dry. You can also turn off the drying cycle manually. Not using heat in the drying cycle can save 20 percent of your dishwasher's total electricity use.  Turn down your water heater thermostat. Thermostats are often set to 140 degrees F when 120 is usually fine. If every household turned its water heater thermostat down 20 degrees, we could prevent more than 45 million tons of annual CO2 emissions - the same amount emitted by the entire nations of Kuwait or Libya.  Select the most energy-efficient models when you replace your old appliances. Look for the Energy Star Label - your assurance that the product saves energy and prevents pollution. Buy the product that is sized to your typical needs - not the biggest one available. Front loading washing machines will usually cut hot water use by 60 to 70% compared to typical machines. Replacing a typical 1973 refrigerator with a new energy-efficient model, saves 1.4 tons of CO2 per year. Investing in a solar water heater can save 4.9 tons of CO2 annually.    ==Home Heating and Cooling==  Be careful not to overheat or overcool rooms. In the winter, set your thermostat at 20 degrees in daytime, and 17 degrees at night. In the summer, keep it at 21. Lowering your thermostat just one degrees during winter saves 6 percent of heating-related CO2 emissions.   Clean or replace air filters as recommended. Energy is lost when air conditioners and hot-air furnaces have to work harder to draw air through dirty filters. Cleaning a dirty air conditioner filter can save 5 percent of the energy used.    ==Small investments that pay off==  Buy energy-efficient compact fluorescent bulbs for your most-used lights. Although they cost more initially, they save money in the long run by using only 1/4 the energy of an ordinary incandescent bulb and lasting 8-12 times longer. They provide an equivalent amount of bright, attractive light. Only 10% of the energy consumed by a normal light bulb generates light. The rest just makes the bulb hot. If every American household replaced one of its standard light bulbs with an energy efficient compact fluorescent bulb, we would save the same amount of energy as a large nuclear power plant produces in one year.   Use less hot water by installing low-flow shower heads.   Weatherize your home or apartment, using caulk and weather stripping to plug air leaks around doors and windows. Ask your utility company for a home energy audit to find out where your home is poorly insulated or energy inefficient. This service may be provided free or at low cost. Make sure it includes a check of your furnace and air conditioning.    ==Getting around ==  Whenever possible, walk, bike, car pool, or use mass transit.   When you next buy a car, choose one that gets good mileage. If your new car gets 40 miles per gallon instead of 25, and you drive 10,000 miles per year, you'll reduce your annual CO2 emissions.  ==Reduce, reuse, recycle==  Reduce the amount of waste you produce by buying minimally packaged goods, choosing reusable products over disposable ones, and recycling. For every pound of waste you eliminate or recycle, you save energy and reduce emissions of CO2.Making products with recycled materials, instead of from scratch with raw materials, uses 30 to 55% less for paper products, 33% less for glass, and a whopping 90% less for aluminum.   If your car has an air conditioner, make sure its coolant is recovered and recycled whenever you have it serviced. In the United States, leakage from auto air conditioners is the largest single source of emissions of chlorofluorocarbons (CFCs), which damage the ozone layer as well as add to global warming.    ==Home Improvements.==  When you plan major home improvements, consider some of these energy saving investments. They save money in the long run, and their CO2 savings can often be measured in tons per year.   Insulate your walls and ceilings. This can save 20 to 30 percent of home heating bills and reduce CO2 emissions. If you live in a colder climate, consider superinsulating. That can save 5.5 tons of CO2 per year for gas-heated homes, 8.8 tons per year for oil heat, or 23 tons per year for electric heat. (If you have electric heat, you might also consider switching to more efficient gas or oil.)  Modernize your windows. Replacing all your ordinary windows with argon filled, double-glazed windows saves 2.4 tons of CO2 per year for homes with gas heat, 3.9 tons of oil heat, and 9.8 tons for electric heat.  Plant shade trees and paint your house a light color if you live in a warm climate, or a dark color if you live in a cold climate. Reductions in energy use resulting from shade trees and appropriate painting can save up to 2.4 tons of CO2 emissions per year.    ==Business and community==  Work with your employer to implement these and other energy-efficiency and waste-reduction measures in your office or workplace. Form or join local citizens' groups and work with local government officials to see that these measures are taken in schools and public buildings.   Keep track of the environmental voting records of candidates for office. Stay abreast of environmental issues on both local and national levels, and write or call your elected officials to express your concerns about energy efficiency and global warming.  """
TT-Levegőtisztaság-136;TA-Környezetvédelem_és_energia-136;Levegőtisztaság;Air_cleanliness;== Levegő == A levegő egy gázelegy, amely a Földet körülvevő gázok keveréke. Fő alkotó részei: a nitrogén 78,09%, oxigén 20,93% és egyéb nemes gázok 0,002%-a a térfogatnak. Változó mennyiségben vízpárát is tartalmaz.   * természet;==Clean air is composed of:== Clean air is '''78%''' nitrogen, '''21%''' oxygen and '''eleven''' other types of gases and compounds.   ==The polluted air==  Ideally the air contains '''0,002%''' of nitrogen dioxide, but nowdays due to the gas, this rate s
TT-Vegyi_anyagok_szabályozása-136;TA-Környezetvédelem_és_energia-136;Vegyi anyagok szabályozása;Regulation of chemical materials;"<html><a href=\http://www.flickr.com/photos/halaszpano/3563003986/\"" title=\""szunyog by halaszgezu, on Flickr\""><img src=\""http://farm4.static.flickr.com/3340/3563003986_6aa96987f0.jpg\"" width=\""355\"" height=\""500\"" alt=\""szunyog\"" /></a></html>  Becslések szerint a fejlett világban több, mint százezer vegyi anyag van forgalomban, amelyekkel ezerszámra találkozunk mindennapi életünk során, a mai civilizáció elképzelhetetlen nélkülük. A világ legnagyobb vegyipara az EU-ban van, ahol az ipari GDP mintegy egy harmadát adja. (Magyarországon a GDP 9,5%-át adja a vegyipar.) Az EU-ban eltérő a szabályozás (több mint 40 direktíva) a vegyi anyagokkal kapcsolatban. 1981. szeptember 18.-i fordulónappal bejelentett ún. létező anyagokat a régebbi irányelvek szerint az ún. EINECS listára tették, ami 100 106 már használatban lévő vegyi anyagot jelent, amiket szabadon lehet forgalmazni. Ám az ezt követően piacra kerülő anyagok az ún. ELINCS listára kerültek, és ezekre bevezettek egy igen szigorú szabályozást, ami fékezte az innovációt az EU-ban, ugyanis 1981 óta csak 3000 új anyag került piacra. Az EU Bizottsága 2001. február 27-én megjelentette a vegyi anyag politikáról készített Fehér Könyvet a régebbi és újabb szabályozás közötti ellentét feloldására. A dokumentum által megfogalmazott célok igyekeznek összhangot teremteni az emberi egészség és környezet védelme, az EU vegyiparának versenyképessége és az egyéb nemzetközi szerződések követelményei között, és hogy az új és meglévő anyagok 11 év alatt fokozatosan azonos eljárás alá essenek. Az új eljárás neve REACH, ami a registration (bejegyzés), evaluation (értékelés), authorisation (engedélyezés) of chemicals-ból alkotott betűszó. 2003. október 29-én átadták a rendelet tervezet második változatát hivatalos javaslatként az EU Tanácsának és az Európai Parlamentnek, akik együtt döntenek majd az elfogadásról, és akik egyébként véleményezték, és támogatták a Fehér Könyvben foglaltakat. Már látható, hogy a rendelet (!) eredeti 2006-os életbelépése nem lesz tartható. Az új szabályozás fontos alapelve, hogy a felelősség kiterjed az egész gyártási láncra, és nemcsak az adatok dokumentálásáért, hanem a vegyi anyag használatból, továbbadásból eredő kockázatok becsléséért is az ipar lesz a felelős. A rendelet tervezet hatásainak vizsgálatára 3-4 hetente ülésező eseti munkacsoportot hozott létre az EU Tanácsa (2003. november 20.), amelynek kezdettől fogva teljes jogú tagjai az újonnan csatlakozó országok is. Ezzel párhuzamosan hazánkban is megalakult ilyen eseti munkacsoport, amelynek feladat a REACH-csel foglalkozó valamennyi EU fórumon résztvevő magyar delegátus számára egyeztetett állásfoglalás, javaslat kidolgozása.   == Kapcsolódó irodalom ==  http://www.pmkik.hu/world/pmkikweb.nsf/id/C3FC1D3FF4A5DFB """;==About the regulation of chemicals==  There are more than 100,000 chemical materials in developed countries, we meet thousands of them during our life. Today's civilization    is unthinkable without them. The world biggest chemical industry is in Europe,
TT-Hulladék-136;TA-Környezetvédelem_és_energia-136;Hulladék;Waste;"<html><a href=\http://www.flickr.com/photos/halaszpano/3563112552/\"" title=\""ATLASZ1 by halaszgezu, on Flickr\""><img src=\""http://farm3.static.flickr.com/2442/3563112552_678686ee66.jpg\"" width=\""379\"" height=\""500\"" alt=\""ATLASZ1\"" /></a></html> =A hulladék=  A hulladék kifejezést a hulladékgazdálkodásról szóló 2000. évi XLIII. törvény a következőképpen határozza meg:  A hulladékok olyan termelési, szolgáltatási vagy fogyasztási maradékok, „amelyektől a birtokosa megválik, megválni szándékozik, vagy megválni köteles”. Viszont a folyamatok mellék, illetve végtermékeként a maradék anyagok akkor is a hulladék kategóriájába tartoznak, ha azokat a tulajdonos (a hulladékot termelő, előállító) saját birtokában tartja, raktározza és felhalmozza.  <br> Mára, az aktuális 2012. évi CLXXXV. törvényben a következőképp határozzák meg: a hulladék, nem más mint bármely anyag vagy tárgy, amelytől birtokosa megválik, megválni szándékozik vagy megválni köteles. <br> Általános értelemben hulladéknak tekinthető bármely halmazállapotú, önállóan vagy hordozó közeggel megjelenő anyag és energia, ami az ember mindennapi életéből, termelő,szolgáltató vagy fogyasztó tevékenységéből ered, és az adott műszaki, gazdasági, társadalmi feltételek között tulajdonosa sem felhasználni, sem értékesíteni nem tud. Az így keletkezett hulladékról gondoskodni kell, amit összegyűjtve hulladék feldolgozó üzemekben kezelnek, ártalmatlanítanak végül tárolják vagy elégetik. Szelektív hulladékgyűjtés esetén, az egyes hulladék típusokat újrafeldolgozzák vagy újrahasznosítják, ezzel kímélve a környezetet. == A hulladék csoportosítása ==  [[Image:Hulladék.JPG|{type}|center||600px|{border}|Hulladékok csoportosítása]]  == Referencia ==  *http://foldrajz.ttk.pte.hu/kornyezet/tematikak/magyarorszag_korny.doc *2000. évi XLIII. törvény a hulladékgazdálkodásról: <br> http://www.szennyviztudas.bme.hu/files/2000i_43%20t%C3%B6rv%20hullad%C3%A9kgazd%C3%A1lkod%C3%A1sr%C3%B3l.pdf<br> *2012. évi CLXXXV. törvény a hulladékgazdálkodásról:<br> http://net.jogtar.hu/jr/gen/hjegy_doc.cgi?docid=A1200185.TV *Szabó Imre - Hulladékelhelyezés: http://hulladekonline.hu/files/77 == Hasznos linkek ==  * http://hulladek.lap.hu/   """;= Waste =  The term of waste is defined in the order about waste management 2000th Act XLIII. as:  The wastes are the production, supply or consumption residues, which its owner discards or intends or it is required to discard. But the processes by- and e
TT-Villamosenergia_termelés-136;TA-Környezetvédelem_és_energia-136;Villamosenergia termelés;Electric_energy_production;== Energiahordozók == [[Image:Energiaforrasok.JPG|300px|thumb|Számos energiahordozó használható fel villamos ergia termelésére]] A Földön fellelhető energiaforrásokat primer energiahordozónak nevezzük, ilyen energiahordozók: *[[napenergia|na;==Energy sources== [[Image:Energiaforrasok.JPG|300px|thumb| Energy sources]] The energy sources found on Earth are called primary energy source, these are for example: *wind energy *sun *heat of the planet *carbon, crude oil and natural gas *nuclear energ
TT-Épített_környezet_védelme-136;TA-Környezetvédelem_és_energia-136;Épített környezet védelme;Protection_of_built_environment;"<html><a href=\http://www.flickr.com/photos/halaszpano/3562330133/\"" title=\""babel by halaszgezu, on Flickr\""><img src=\""http://farm4.static.flickr.com/3568/3562330133_71b1751129.jpg\"" width=\""500\"" height=\""378\"" alt=\""babel\"" /></a></html>  '''1995. évi LIII. törvény a környezetvédelemről 24-27. paragrafusa szerint:'''  ----  24. § Az épített környezet védelme kiterjed a településekre, az egyedi építményekre és műszaki létesítményekre.  25. § (1) A települések területén a környezet terhelhetősége és a településrészek rendeltetése alapján a rendezési tervben övezeteket kell meghatározni.  (2) Az egyes övezetekben folytatható tevékenységek a külön jogszabályban a környezetterhelés jellege alapján meghatározott védőtávolság, védőterület megléte és a védelmi előírás megtartása esetén engedélyezhetők.  (3) A kijelölt védőterületen vagy védőtávolságon belül az adott övezet rendeltetésével össze nem férő tevékenység - külön védelmi intézkedés nélkül - nem folytatható.  26. § A település területén zöldterületeket, védőerdőket külön jogszabály szerint kell kialakítani és fenntartani.  27. § A természetes és épített környezet összehangolt védelme érdekében a területfejlesztési koncepciókban, a területrendezési és településszerkezeti tervek elkészítése során a bennük foglalt elképzelések várható környezeti hatásait is fel kell tárni és értékelni, - e törvény 43-44. §-aira is figyelemmel - továbbá a szükséges környezetvédelmi intézkedéseket környezetvédelmi fejezetben vagy önálló környezetvédelmi tervben, illetve programban kell rögzíteni. Ezek tartalmi követelményeit e törvény, valamint külön jogszabályok állapítják meg.  == Referenciák == # [http://net.jogtar.hu/jr/gen/hjegy_doc.cgi?docid=99500053.TV 1995. évi LIII. Törvény a környezet védelmének általános szabályairól] # [http://www.mtk.nyme.hu/~amt/stuff/kornygazd.pps Tóásó Szilvia: Környezetgazdaságtan előadás] """;"'''Referring to the LIII. law, 24th-27th paragraph of year 1995 - environment protection'''  ---- 24. § The protection of built environment covers the protection of settlements, individual buildings and technical facilities.  25. § (1) Zones shall be determined in the Settlement Plan for the environmental load and settlements purpose near the area of towns.  (2) Activities around settlements are ruled by a special legislation, it depends on the existence of safety areas and security requirements.   (3)  Activities, which are incompatible with the area's rules can not be continued without special protection measures.  26. § Green zones and forest for protection are needed to construct near the areas of settlements.  <html><a href=\http://www.flickr.com/photos/halaszpano/3562330133/\"" title=\""babel by halaszgezu, on Flickr\""><img src=\""http://farm4.static.flickr.com/3568/3562330133_71b1751129.jpg\"" width=\""500\"" height=\""378\"" alt=\""babel\"" /></a></html> ==Interesting facts== *Running plants on the building could be saving about 30 % of energy.  ==References==  # [http://net.jogtar.hu/jr/gen/hjegy_doc.cgi?docid=99500053.TV the LIII. law, 24th-27th paragraph of year 1995 - environment protection] """
TT-Környezeti_probléma-136;TA-Környezetvédelem_és_energia-136;Környezeti probléma;Environmental problem;"<html><a href=\http://www.flickr.com/photos/halaszpano/3562995942/\"" title=\""virtualis by halaszgezu, on Flickr\""><img src=\""http://farm4.static.flickr.com/3577/3562995942_960979015a.jpg\"" width=\""366\"" height=\""500\"" alt=\""virtualis\"" /></a></html>  == Globális környezeti problémák ==  * Túlnépesedés, éhínség, városnövekedés  * Energiaválság, nyersanyagok kimerülése * A légkör globális problémái ** Üvegházhatás, globális felmelegedés ** Savas esők ** Ózonréteg elvékonyodása * Elsivatagosodás * [[Környezetszennyezés]] **[[Vízszennyezés]] **[[Talajszennyezés]], talajpusztulás **[[Levegőszennyezés]] **[[Hulladék-elhelyezés]] * Nukleáris veszélyek * A biodiverzitás csökkenése * Háborús konfliktusok  == Referenciák == * [http://www.kfk.hu/kornyezet/kornyved.pdf Környezetvédelem alapjai segédanyag Kecskeméti Főiskolai, Kertészeti Főiskolai Kar] """;"The global spread of '''environmental problems''' became clear in the 20th third of the last century.  Today, the tangible effects of global warming arouse a growing concern, not only in academic circles.   Europe's first 500 years after the hottest autumn suffered, the continental average temperature was 11 ° C in September and October, which was 1.8 ° C higher than the long-term mean temperature of this month. In november the temperature was above the average already by 2.5 ° C. The results show that in 2006 exceeded 1 ° C by the year 1772.  '''The European Commission''''s latest forecasts of climate change shows average temperature will increase by 2-3 º C in Europe. Experts say the climate change will have serious consequences. Only because the heat is expected within 10 years, 11 thousand people will die in Europe.  '''Environmental protection''' has became an important task for the institutions of the European Community after the Maastricht Treaty for the European Union ratification by all Member States. The EU is already very active in the field of environmental policy with important directives like those on environmental impact assessment and on the access to environmental information for citizens in the Member States.  The European Union has undertaken to increase the share of renewable energies in energy consumption to one-fifth by the end of the next decade.The aim is 20% in EU average, but in view of differing abilities, each member has undertaken a country-specific national commitment. Aim of Hungary is to raise the proportion of renewable energies to 13%.  The melting glaciers will increase flood risk, while significantly reducing the amount of potable water. The decline in crop yields - especially in Africa - hundreds of millions of people take a position that they could not produce them or to buy the necessary food products. According to one estimate,in the mid-century, about 200 million people will be forced to change his residence to rising sea levels, increasingly severe floods and more intense droughts. The ecosystems are particularly vulnerable because of climate change, 15-40% of species are threaten extinction risk, if over a 2 ° C warming occurs. In addition, a number of studies suggest that the Amazon rainforest may be highly sensitive to climate change.  A few days ago appeared in the latest report by the UN Intergovernmental Committee on Climate Change, which claims a 90% certainty that human activity is behind climate change. '''The study suggests that by 2100 global average temperature will rise by 6.4 ° C.''' The report indicates that the sea levels continue to rise, and hurricanes are more frequent. The climate of the Intergovernmental Committee on Testing (Intergovernmental Panel on Climate Change (IPCC)) Report of 3750 climate experts work record, who spent all the available climate research, inspection in the last 6 years. The first volume of the report was presented in Paris on 2 February that in 2100 the temperature is the most extreme cases, 1.1 to 6.4 ° C show an increase. The most likely in the 1.8 to 4.0 ° C will increase, with higher values is probably true, if the world's countries remain heavily dependent on coal use.  The ocean warming and the Greenland and Antarctic ice melting increases. By 2100 the sea level in the range of 18-59 cm will be increased to 1990 levels. The ceiling is also made to the use of fossil fuels may occur.  The average temperature has increased in recent decades. The polar ice sheets are melting, which is not only a rise in sea level, but also means more warming. The water is able to absorb more heat than the ice. The perennial ice region is also called the Siberian tundra is melting. A conserved ancient marshy bog plants and began to decompose animal carcasses, which will get huge amounts of methane into the atmosphere. This would also enhance the greenhouse effect.  The IPCC report issued in 2007 will play a role in phases in which the first volume contains the scientific basis for climate change.The next two volumes, and a synthesis will be published during the year. The second volume will be published in April, the impact of climate change and the human impacts (Impacts, Adaptation and Vulnerability ') will be addressed, in the third chapter to will be published in May issue is how to mitigate the effects (\Climate Change Limitation\"").   The UN report's authors hope that the governments of the world understand the warning, and significantly limit greenhouse gas emissions.  ==Other informations==  * Did you know, you can save 15-20% of energy after insulation of doors and windows?  * Did you know, using of coal emit carbon dioxide directly?  ==Resource==  http://www.geografia.hu/index.php?option=com_content&amp,task=view&amp,id=16&amp,Itemid=38 """
TT-Kőolaj-136;TA-Környezetvédelem_és_energia-136;Kőolaj;Paraffine;== Kőolaj fogalma ==  A kőolaj (más néven ásványolaj) a Föld szilárd kérgében található természetes eredetű, élő szervezetek bomlásával, átalakulásával keletkezett ásványi termék. Fő összetevői folyékony halmazállapotú szénh;'''Petroleum or crude oil''' is a mostly dark coloured, thick and liquid substance, a fossil energy source, whose composition depends on the natural habitat.   Chemically it’s a mixture of hydrocarbons, but it also contains sulfur-, oxygen-, nitrogen-compounds and organic matters, from these components crude oil has arised under pressure and heat during millions of years.  It is found beneath the earth’s surface with water, natural gas and solid hydrocarbons. It has been acquired in sedimentary rock, when the grains become so dense that the petroleum can not flow away. Its phisical properties depend on how much hydrocarbons it contains, based on this we distinguish paraffins, naphthenes, aromatics and asphaltics.  ==See also==  [[Lignite]]  [[Brown coal]]  [[Natural gas]]  ==Resources==  http://hu.wikipedia.org/wiki/K%C5%91olaj 
AF-Környezetveszélyeztetés-136;TA-Környezetvédelem_és_energia-136;Környezetveszélyeztetés;Environmental endangering;"<html><a href=\http://www.flickr.com/photos/halaszpano/3562994008/\"" title=\""goroganzix by halaszgezu, on Flickr\""><img src=\""http://farm4.static.flickr.com/3629/3562994008_b2dc274744.jpg\"" width=\""500\"" height=\""375\"" alt=\""goroganzix\"" /></a></html>  == A környezetveszélyeztetés fogalma == Környezetveszélyeztetésnek nevezzük a közvetlen vagy közvetett környezetünk épségének fenyegetését. Itt a [[környezet]] szó túlmutat a természet fogalmán, az emberi társadalmat körülvevő teljes szférára értendő. Fontos, hogy a környezetveszélyeztetés fogalma nem azonos a környezetszennyezéssel, mivel környezetveszélyeztetés esetén nem származik azonnali kára a környezetnek, de ennek lehetősége fenn áll, amíg a veszélyeztetés fokozódik.<br><br>Törvényi alkalmazásban a '''környezetveszélyeztetés''' alapfogalom. Jelentése: a környezetkárosodás bekövetkezésének közvetlen veszélye.<br> A '''környezetveszélyeztető magatartás''': környezetveszélyeztetést előidéző tevékenység vagy mulasztás.    == A környezetveszélyeztetés forrásai == [[Image:Danger.jpg|frame|150px|right|Új jelölés a vízi környezet veszélyeztetésére]] A környezetveszélyeztetés forrásai többféleképpen csoportosíthatóak. #Az egyik legelterjedtebb lebontás: #*fizikai eredetű kockázatok (elektromágneses tereknek való kitettség) #*biológiai eredetű kockázatok (baktériumok, vírusok, gombák) #*kémiai veszélyforrások (gyógyszerek, kozmetikumok, vegyipari anyagok) #Egy másik, tipizáltabb csoportosítás: #*veszélyes anyagok és technológiák (Egy autó 1 utaskilométeren 10-15-ször annyi üzemanyagot használ fel, mint egy busz.) #*hulladékok (Az európaiak 1 évi hulladék mennyiségének 2%-a veszélyes hulladék, ez több mint 40 millió tonna szemetet jelent.) #*zaj és rezgés (közlekedési, ipari) #*sugárzások (mesterségesen keltett és természetes ionizáló, nem ionizáló és hősugárzások)  == Kontroll == A környezet védelmének érdekében (beleértve a környezetveszélyeztetés csökkentését) az utóbbi évtizedekben számos lehetőség nyílt világszerte a környezet állapotának felügyeletére. A UNEP (United Nations Environment Programme - Az ENSZ Környezetvédelmi Programja) évente több mint száz különböző országban hajt végre több száz millió USD értékű környezetvédelmi programot. Ezek a programok a dezertifikációtól az erdőgazdálkodásig, a vízügyi kérdésektől a nyomor és a környezetvédelem összefüggéséig széles kérdéscsoportot fognak át. Felölelik a klimatikus változásokat, a biodiverzitást, az összes környezetvédelemmel kapcsolatos megoldásra váró problémát.<br><br> Az ENSZ Éghajlat-változási keretegyezményét (UNFCCC) kiegészítő [http://hu.wikipedia.org/wiki/Kiot%C3%B3i_jegyz%C5%91k%C3%B6nyv Kiotói Jegyzőkönyvben] a fejlett országok vállalták, hogy A 2008-2012-es időszakra átlagosan 5,2%-kal csökkentik az üvegházhatású gázok kibocsátását az 1990-es bázisévhez képest. Ezen belül az egyes országok esetében eltérések vannak, így az Európai Unió eredeti tizenöt tagállama 8%-os csökkentést vállalt. A volt szocialista országok 1990 helyett másik bázisévet is választhattak, figyelembe véve az 1989 utáni gazdasági összeomlás következtében végbemenő drámai mértékű üvegházhatású gázok kibocsátás-csökkenést.  === Magyarország szerepvállalása === A környezetveszélyeztetés csökkentésének céljából fontos az az 1995. évi törvény, amely a környezet védelmének általános szabályairól szól.<br> Magyarország a világ üvegházhatású gáz kibocsátásának 0,3%-áért felelős. a Jegyzőkönyv keretében 6%-os csökkentést vállalt az 1985–1987-es időszak átlagos kibocsátásához képest. A Jegyzőkönyvet Magyarországon az 2007. évi IV. törvény hirdette ki (címe: az ENSZ Éghajlat-változási Keretegyezményben Részes Felek Konferenciájának 1997. évi harmadik ülésszakán elfogadott Kiotói Jegyzőkönyv kihirdetéséről).  == Referenciák == # [http://net.jogtar.hu/jr/gen/hjegy_doc.cgi?docid=99500053.TV 1995. évi LIII. Törvény a környezet védelmének általános szabályairól] # [http://ec.europa.eu/health-eu/my_environment/index_hu.htm Az Európai Unió közegészségügyi portálja] # [http://geogr2005.elte.hu/archiv/tarsfoci/ENSZ%20Programok.ppt ENSZ programok] # [http://hu.wikipedia.org/wiki/Kiot%C3%B3i_jegyz%C5%91k%C3%B6nyv Wikipédia]  == Hasznos linkek == * [http://ec.europa.eu/environment/health/index_en.htm Európai környezetvédelmi és egészségügyi cselekvési terv (angol)] * [http://www.origo.hu/auto/20071025-visszafogna-az-autok-fustoleset-az-eu.html Cikk: Visszafogná az autók füstölését az EU] """;=Environmental endangering=  '''Environmental endangering:''' any action or omission which may cause environmental damage.  ==Forms of pollution==  The major forms of pollution are listed below along with the particular pollutants relevant to each of them
TT-Földgáz-136;TA-Környezetvédelem_és_energia-136;Földgáz;Natural_gas;== A földgáz fogalma == [[Image:Foldgaz_kitermeles.jpg|thumb|center|600px|A világ földgáz kitermelése m3/év]]  A földgáz színtelen, szagtalan gáz, amely gyúlékony, és elégetésével jelentős mennyiségű energiát nyerünk. A földgáz ég;== The natural gas == [[Image:Foldgaz_kitermeles.jpg|thumb|center|600px|The world's natural gas extraction m3/year]]  Natural gas is a colorless, odorless gas, flammable, and with burning it a large amounts of energy is obtained. The combustion product of
