Task,Phrase,Concept,Concept ID,Distance,Word Distance
100. Metrology,accounting,accounting officer,AF-Accounting_Officer-26,0.0,70.37037037037037
100. Metrology,accounting,accounting officer of eit,TT-Accounting_Officer_of_EIT-28,0.0,55.88235294117647
100. Metrology,accounting,cost accounting,TT-Cost_accounting-85,0.3158977895348274,79.16666666666666
100. Metrology,accounting,finance and accounting,TT-Finance_and_accounting-85,0.38285493603262166,61.29032258064516
100. Metrology,accounting,financial accounting,TT-Financial_accounting-85,0.0,65.51724137931035
100. Metrology,accounting,management accounting,TT-Management_accounting-85,0.3106832360879268,63.33333333333333
100. Metrology,accounting measurement,clc performance measurement system,TT-CLC_Performance_Measurement_System-26,0.5393252968908395,61.81818181818181
100. Metrology,accounting measurement,co-location measurement,TT-Co_location_Measurement-26,0.22343377662966746,79.54545454545455
100. Metrology,accounting measurement,cross-kic measurement,TT-Cross_KIC_Measurement-28,0.22343377662966746,80.95238095238095
100. Metrology,accounting measurement,eit level measurement,TT-EIT_Level_Measurement-28,0.3600128496273749,71.42857142857143
100. Metrology,accounting measurement,eit performance measurement system,TT-EIT_Performance_Measurement_System-28,0.5393252968908395,50.90909090909091
100. Metrology,accounting measurement,horizon 2020 level measurement,TT-Horizon_2020_Level_Measurement-28,0.3600128496273749,64.70588235294117
100. Metrology,accounting measurement,kic performance measurement system,TT-KIC_Performance_Measurement_System-26,0.5393252968908395,61.81818181818181
100. Metrology,accounting measurement,measurement framework,TT-Measurement_Framework-127,0.22343377662966746,50.0
100. Metrology,accounting measurement,process measurement attribute,AF-Process_Measurement_Attribute-127,0.37246719901316017,57.99999999999999
100. Metrology,accounting measurement,wound measurement,TT-Wound_Measurement-91,0.22343377662966746,81.57894736842105
100. Metrology,accuracy method,baseline method,TT-Baseline_method-126,0.25905202860722076,62.06896551724138
100. Metrology,accuracy method,decision making method,TT-Decision_Making_Method-17,0.47607066492174976,63.888888888888886
100. Metrology,accuracy method,method of organizing cleaning,TT-Methods_of_organizing_cleaning-87,0.25905202860722076,25.581395348837212
100. Metrology,accuracy method,payment method,TT-Payment_method-85,0.25905202860722076,64.28571428571429
100. Metrology,accuracy method,performance appraisal method,TT-Performance_Appraisal_Method-12,0.4509961036889252,59.523809523809526
100. Metrology,accuracy method,post-training performance method,TT-Post_training_Performance_Method-13,0.5907873556697694,52.17391304347826
100. Metrology,cycle time,deming cycle,AF-Deming_ciklus-144,0.23080294446572214,42.857142857142854
100. Metrology,cycle time,grant cycle in eit,TT-Grant_Cycle_in_EIT-28,0.44100053403603023,55.55555555555556
100. Metrology,cycle time,life cycle of tourism product,TT-Life_cycle_of_tourism_product-87,0.3164023709561319,47.368421052631575
100. Metrology,cycle time,process management life cycle,TT-Folyamatmenedzsment_rendszer-142,0.45143393947559274,23.684210526315788
100. Metrology,cycle time,sales cycle,TT-Sales_cycle-78,0.23080294446572214,45.0
100. Metrology,cycle time,system development life cycle,TT-Rendszerfejlesztési_életciklus-141,0.3904507665876229,23.684210526315788
100. Metrology,installation date,acceptance criteria of solar energy system installation,TT-Acceptance_Criteria_of_Solar_Energy_System_Installation-24,0.4708898575444699,32.3943661971831
100. Metrology,installation date,air vent installation,TT-Air_Vent_Installation-24,0.21791145835806802,62.16216216216216
100. Metrology,installation date,analysis of the legal possibilities of  installation of wastewater treatment,TT-Analysis_of_the_Legal_Possibilities_of__Installation_of_Wastewater_Treatment-21,0.5253461174828721,34.78260869565217
100. Metrology,installation date,analysis of the possibility of installation and operation of sewage treatment plant,TT-Analysis_of_the_Possibility_of_Installation_and_Operation_of_Sewage_Treatment_Plant-21,0.4962648908727082,33.33333333333333
100. Metrology,installation date,analysis of the technical possibilities of installation and operation of wastewater treatment,TT-Analysis_of_the_Technical_Possibilities_of_Installation_and_Operation_of_Wastewater_Treatment-21,0.544945644636571,30.275229357798167
100. Metrology,installation date,check valves installation,TT-Check_Valves_Installation-24,0.4117709658621166,56.09756097560976
100. Metrology,installation date,circulating pump installation,TT-Circulating_Pump_Installation-24,0.43163188942433817,51.11111111111111
100. Metrology,installation date,components installation,TT-Components_Installation-25,0.21791145835806802,58.97435897435898
100. Metrology,installation date,expansion tank installation,TT-Expansion_Tank_Installation-24,0.3100860589215221,53.48837209302325
100. Metrology,installation date,fluid mixed primary circuit installation,TT-Fluid_Mixed_Primary_Circuit_Installation-24,0.5343952724007197,41.07142857142857
100. Metrology,installation date,fluid mixed thermal installation,TT-Fluid_Mixed_Thermal_Installation-24,0.44697988871669225,47.91666666666667
100. Metrology,installation date,heat exchanger installation,TT-Heat_Exchanger_Installation-25,0.21791145835806802,53.48837209302325
100. Metrology,installation date,installation design of pipes,TT-Installation_Design_of_Pipes-25,0.44697988871669225,70.45454545454545
100. Metrology,installation date,installation of collector connections,TT-Installation_of_Collector_Connections-25,0.21791145835806802,58.490566037735846
100. Metrology,installation date,integrated installation,TT-Integrated_Installation-25,0.21791145835806802,58.97435897435898
100. Metrology,installation date,integrated installation of air vents,TT-Integrated_Installation_of_Air_Vents-24,0.21791145835806802,59.61538461538461
100. Metrology,installation date,pipe installation,TT-Pipe_Installation-24,0.21791145835806802,69.6969696969697
100. Metrology,installation date,pump installation,TT-Pump_Installation-24,0.43163188942433817,69.6969696969697
100. Metrology,installation date,refrigerant installation,TT-Refrigerant_Installation-25,0.21791145835806802,57.49999999999999
100. Metrology,installation date,safety valves installation,TT-Safety_Valves_Installation-24,0.3984197966019285,54.761904761904766
100. Metrology,installation date,solar collector installation,TT-Solar_Collector_Installation-31,0.21791145835806802,52.27272727272727
100. Metrology,installation date,solar primary circuit installation,TT-Solar_Primary_Circuit_Installation-24,0.4205130816208733,46.0
100. Metrology,installation date,solar thermal energy system installation,TT-Solar_Thermal_Energy_System_Installation-32,0.3802349247328868,41.07142857142857
100. Metrology,installation date,solar thermal energy system installation test,TT-Solar_Thermal_Energy_System_Installation_Test-24,0.4909212269579769,47.540983606557376
100. Metrology,installation date,system installation,TT-System_Installation-140,0.3802349247328868,65.71428571428571
100. Metrology,local metrological authority,metrological authority,TT-Metrological_Authority-1,0.1047665898644683,87.75510204081633
100. Metrology,metrological inspection id number,metrological inspection,TT-Metrological_Inspection-1,0.31259484858924225,81.81818181818183
100. Metrology,organisation place,place,TT-Place-78,0.2417437657600685,40.909090909090914
100. Metrology,physical property,property,TT-Property-55,0.24787411805964588,62.5
100. Metrology,physical property,property value,TT-Property_Value-55,0.45340668776961834,50.0
100. Metrology,specific device type,sector-specific requirement,TT-Ágazat-specifikus_követelmény-144,0.5541446135120522,65.21739130434783
100. Metrology,specific device type,specific agreements,TT-Specific_Agreements-26,0.42215438361908875,73.68421052631578
100. Metrology,technological process,technological progress,TT-Technological_Progress-113,0.467455164150971,95.23809523809523
