Task,Phrase,Score,Description
Notification,standard sap solution equipment database,90.0,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,computerized maintenance management system cmms,86.2,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,mol group level preferable cmms,82.5,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,maintenance work item,47.2,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,mol group lda,43.5,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,work completion priority,34.0,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,local maintenance staff operation staff,32.2,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,responsible person,32.0,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,admissible completion date,31.5,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,minimal number,26.0,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,technical scope,24.0,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,dedicated funding source,24.0,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,business unit maintenance staff,21.95,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,autonomous maintenance activity,21.2,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,start date,20.5,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
Notification,special group,19.0,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
"
