Model,Task,Role,Description,ScoredKeyphrases
2.3.6 Maintenance execution process,Notification,Maintenance management,"Notification shall be issued prior to execution for each maintenance work item (excluding havaria) generated in the Computerized Maintenance Management System (hereinafter: CMMS).

On MOL Group level preferable CMMS is standard SAP solution. Equipment database in CMMS has to be fulfilled and updated by dedicated responsible person. Processes in CMMS have to be simplified enough, but still in line with MOL Group LDA, with minimal number of paperwork.

Each Notification should contain technical scope of work, the latest admissible completion date, the earliest start date, the materials provided by the requestor and the work completion priority. All ordered works shall be assigned to a dedicated funding source.
The notifications can be issued by local Maintenance staff, Operation staff or generated automatically by System. 
Special group of works is the Autonomous maintenance activities. These works are issued in CMMS, executed by Business unit Maintenance staff or Operation staff but without mandatory prioritization on RBWS. 
","[('standard sap solution equipment database', 90.0), ('computerized maintenance management system cmms', 86.2), ('mol group level preferable cmms', 82.5), ('maintenance work item', 47.2), ('mol group lda', 43.5), ('work completion priority', 34.0), ('local maintenance staff operation staff', 32.2), ('responsible person', 32.0), ('admissible completion date', 31.5), ('minimal number', 26.0), ('technical scope', 24.0), ('dedicated funding source', 24.0), ('business unit maintenance staff', 21.95), ('autonomous maintenance activity', 21.2), ('start date', 20.5), ('special group', 19.0), ('cmms', 15.0), ('operation staff', 9.25), ('mandatory prioritization', 2.0)]"
2.3.6 Maintenance execution process,Work order selection (RBWS),Maintenance management,"For each maintenance work item, prioritizing shall be done through risk assessment or Risk Based Work Selection (hereinafter: RBWS) prior to ordering which then gets recorded in the CMMS. The potential hazards are evaluated according to valid risk Matrix. The necessity of performing or rejecting a given work item, and the latest admissible completion date shall be determined on the basis of the assessed risks. As the part of overall operation responsibility, the final decision about priority is made by Operation.
The maintenance works are categorized as follows:
•    technically plannable and schedulable works, that are called “Normal”
•    schedule breaker works, that can be “Urgent” works or “Emergency” (havaria) works
•    small works.

Normal works
     
Work to be technically planned by Maintenance staff and/or SSC where relevant and scheduled in advance by SSC/Maintenance supplier through a normal process. SSC/Maintenance supplier plans shall be prepared in 14 calendar days and gives proposal for the scheduling. Requestor shall approve it in 7 calendar days. Earliest start date shall be minimum the 22nd day from the date of ordering. Start before 22nd day is possible only based on previous agreement between supplier and Operation - free capacities are available on supplier site and asset is available for maintenance. In case of work orders with Normal priority SSC is required to prepare and submit offer for approval.

Urgent and emergency (havaria) works

Work order is considered to be urgent if the requested starting date of execution is between the 4th and the 21st day from the requesting date. Maintenance supplier shall prepare detailed plan depending on available resources, but it is not mandatory. 

Emergency works are not plannable, ex-post administrated works where work starts immediately and lasts until the problem is solved. An attempt shall be made to register the work order within a working day after the work started.

These works can be accounted based on factual due to time limitation for detailed technical preparation, but in case of possibility - similarly to normal works - the technical preparation and the usage of “preliminary technical and prize offer” accounting solution has to be used. In case of urgent works the administration shall be before work execution.
","[('normal process ssc maintenance supplier plan', 163.8357142857143), ('valid risk matrix', 142.5), ('overall operation responsibility', 129.0), ('work selection rbws', 128.57142857142856), ('admissible completion date', 115.0), ('maintenance work item', 110.35714285714286), ('normal schedule breaker', 103.8), ('risk assessment', 100.5), ('potential hazard', 96.0), ('assessed risk', 92.5), ('ssc maintenance supplier', 85.53571428571428), ('final decision', 84.0), ('date maintenance supplier', 81.78571428571428), ('work item', 78.07142857142857), ('normal priority ssc', 73.55), ('schedulable work', 68.57142857142857), ('maintenance staff', 67.28571428571428), ('small work', 65.57142857142857), ('maintenance work', 60.85714285714286), ('urgent work', 56.57142857142857), ('normal work', 54.371428571428574), ('mandatory emergency work', 52.07142857142857), ('start date', 52.0), ('calendar day', 50.66666666666667), ('cmms', 49.0), ('risk', 48.5), ('previous agreement', 48.0), ('nd day', 47.16666666666667), ('supplier site', 46.5), ('free capacity', 46.0), ('approval urgent', 46.0), ('work order', 43.23809523809524), ('starting date', 40.0), ('st day', 35.66666666666667), ('maintenance', 32.285714285714285), ('emergency havaria', 30.5), ('detailed plan', 30.0), ('work execution', 29.571428571428573), ('scheduling', 29.0), ('ssc', 28.75), ('working day', 28.666666666666668), ('available resource', 22.0), ('plannable ex-post', 18.0), ('detailed technical preparation', 16.5), ('time limitation', 12.0), ('technical preparation', 8.0), ('prize offer accounting solution', 8.0)]"
2.3.6 Maintenance execution process,Planning and Scheduling,SSC,"Standard Norm-based work planning with clear work allocation mechanism and approval process considering capability, costs, capacity and backlog of work.
The human resources (SSC and external) and materials required for performing the works shall be scheduled in advance. Scheduling defines the start date of the work item. During scheduling, the planned availability of the own (SSC) resources shall be considered. The time and resources required for the work are defined such that the process can be completed within the shortest timeframe and subject to the lowest expenditure.
Scheduling has to be aligned with operating units. SSC is responsible for planning and scheduling where relevant.","[('standard norm-based work planning', 45.0), ('clear work allocation mechanism', 42.0), ('capability cost capacity', 27.0), ('approval process', 20.0), ('human resource ssc', 14.833333333333334), ('work item', 13.0), ('advance scheduling', 12.0), ('start date', 10.0), ('backlog', 8.0), ('ssc resource', 7.833333333333334), ('planned availability', 6.0), ('ssc', 3.3333333333333335)]"
2.3.6 Maintenance execution process,Execution – routine maintenance,Technical execution,"If the execution of maintenance of technological assets cannot be completed by drawing on internal business resources (Autonomous maintenance) and no specific legislative rule defines the identity of the performing entity, it shall be completed through the SSC/where relevant. Other maintenance suppliers may be involved in case it is justified that no SSC or other in-house cost effective resources or know-how is available.

SSC is responsible for the effective execution of works from quality, cost and HSE aspects regardless whether they or subcontractors are executing. The works have to be supervised by SSC, field maintenance and operation. During the physical execution of maintenance tasks, control activities of operation, maintenance and SSC colleagues is essential in order to increase the technical, HSE and cost control. The SSC is primarily responsible for the supervision of ongoing works at site.

The tasks to be included in the scope of autonomous maintenance  is the responsibility of the given business, taking into account the available competencies, capacity and tools of the operator staff. The details of the autonomous maintenance shall be regulated on business level, taking into account all operational, legal, HSE and other aspects

","[('internal business resource autonomous maintenance', 87.33333333333333), ('in-house cost effective resource', 75.66666666666666), ('specific legislative rule', 72.0), ('relevant maintenance supplier', 59.0), ('technological asset', 52.0), ('maintenance task control activity', 49.0), ('ssc field maintenance', 44.5), ('effective execution', 33.5), ('quality cost', 30.666666666666664), ('physical execution', 28.0), ('autonomous maintenance', 26.333333333333336), ('operation maintenance', 26.0), ('ssc colleague', 25.5), ('cost control', 24.666666666666664), ('hse aspect', 23.333333333333336), ('know-how', 19.0), ('technical hse', 17.333333333333336), ('ssc', 15.5), ('business level', 15.5), ('maintenance', 15.0), ('available competency capacity', 15.0), ('operational legal hse', 10.333333333333334), ('operator staff', 8.0)]"
2.3.6 Maintenance execution process,Execution – autonomous maintenance,Business operation,"If the execution of maintenance of technological assets cannot be completed by drawing on internal business resources (Autonomous maintenance) and no specific legislative rule defines the identity of the performing entity, it shall be completed through the SSC/where relevant. Other maintenance suppliers may be involved in case it is justified that no SSC or other in-house cost effective resources or know-how is available.

SSC is responsible for the effective execution of works from quality, cost and HSE aspects regardless whether they or subcontractors are executing. The works have to be supervised by SSC, field maintenance and operation. During the physical execution of maintenance tasks, control activities of operation, maintenance and SSC colleagues is essential in order to increase the technical, HSE and cost control. The SSC is primarily responsible for the supervision of ongoing works at site.

The tasks to be included in the scope of autonomous maintenance  is the responsibility of the given business, taking into account the available competencies, capacity and tools of the operator staff. The details of the autonomous maintenance shall be regulated on business level, taking into account all operational, legal, HSE and other aspects

","[('internal business resource autonomous maintenance', 87.33333333333333), ('in-house cost effective resource', 75.66666666666666), ('specific legislative rule', 72.0), ('relevant maintenance supplier', 59.0), ('technological asset', 52.0), ('maintenance task control activity', 49.0), ('ssc field maintenance', 44.5), ('effective execution', 33.5), ('quality cost', 30.666666666666664), ('physical execution', 28.0), ('autonomous maintenance', 26.333333333333336), ('operation maintenance', 26.0), ('ssc colleague', 25.5), ('cost control', 24.666666666666664), ('hse aspect', 23.333333333333336), ('know-how', 19.0), ('technical hse', 17.333333333333336), ('ssc', 15.5), ('business level', 15.5), ('maintenance', 15.0), ('available competency capacity', 15.0), ('operational legal hse', 10.333333333333334), ('operator staff', 8.0)]"
2.3.6 Maintenance execution process,Verification,Maintenance management,"The performance verification after the SSC verification shall be made in 2 steps. The first level invoice acceptance has to be done by responsible maintenance department/business operation, the second level invoice acceptance by the cost responsible manager. The approval of orders and acceptances has to be made according to MOL Group LDA.
In case of repetitive works with standard scope and planning based on Norms single level approval is acceptable. The Autonomous Maintenance verification process shall be regulated on business level.

Small works

Small Works are maintenance tasks/work orders which are usually of small entity and can be executed effectively by dedicated teams in order to have simple work initiation and approval process for small works in terms of time and/or money.
There is no technical specification as limit criterion for the activities, whereas the following criteria apply:
-    Scheduling limits: Havaria 0-1 Day, Urgent 2-5 Days (Day 0th means the day of the order)
-    Maximum labour force requirement 16 Man-hours 
-    Support activities (like insulation and scaffolding) are calculated extra for a maximum of 2 people for 8 hours of works, which equals a maximum of 16 Man-hours.
-    Maximum material costs allowed are set for EUR100.
","[('responsible maintenance department business operation', 129.33333333333331), ('first level invoice acceptance', 109.5), ('second level invoice acceptance', 107.5), ('autonomous maintenance verification process', 88.16666666666666), ('norm single level approval', 86.5), ('maintenance task work order', 76.13333333333333), ('mol group lda', 75.0), ('cost responsible manager', 67.0), ('business level small', 65.75), ('performance verification', 58.33333333333333), ('ssc verification', 57.33333333333333), ('simple work initiation', 47.8), ('standard scope', 46.0), ('repetitive work', 41.8), ('approval process', 35.5), ('small work', 35.05), ('small entity', 34.25), ('dedicated team', 32.0), ('technical specification', 22.0), ('maximum material cost', 19.5), ('limit criterion', 18.5), ('following criterion', 18.5), ('maximum labour force requirement', 18.5), ('limit havaria', 17.0), ('day urgent', 13.333333333333332), ('day day', 12.666666666666666), ('support activity', 8.0), ('scaffolding', 3.0), ('eur100', 1.0)]"
Support Processes,100. Metrology,Local product storage management,"The points in the technological processes where the quantity and quality of the handled product needs demonstrating through an accounting measuring must be identified. 

The measuring devices and metering systems of the accounting measuring must be verified and calibrated in accordance with the cycle set forth by the effective authority regulations. The verified / calibrated state must be proved with documents (reports). The proving document must be kept safe and made available on the measuring site. Only verified metering devices may be used for accounting measuring.

The verification and calibration of the devices used for the accounting measuring procedure may be performed exclusively by the local metrological authorities, or a laboratory accredited and authorised by them. 

Accounting measuring points must be established as minimum at the process points set forth in Appendix 8.

For accounting measurements the physical properties set forth in Appendix 8 must be measured as minimum. For the accounting measurements the devices/systems operating on the measuring principles and with the accuracy and measuring uncertainty as set forth in Appendix 8, must be used.

The proper operation of the measuring devices used in the accounting measuring process must be inspected on a regular basis and a protocol prepared on it. The method and cycle time recommended for inspecting specific device types are included in Appendix 09.

Updated registration of the measuring devices used for accounting measurements must be kept and their verified / calibrated status monitored.

Measuring devices registered in the record keeping must have a “Registration Sheet” which has to include as minimum the following (the recommended Registration Sheet form is included in Appendix 10):
•    designation of the measuring device
•    manufacturer
•    type or serial number
•    operating organisation
•    place of use or installation
•    date of commissioning
•    measuring limit
•    measuring accuracy
•    method and frequency of metrological inspections
ID number of the inspection report
","[('handled product need', 99.0), ('effective authority regulation', 84.5), ('local metrological authority', 63.5), ('technological process', 62.0), ('measuring device manufacturer type', 52.05), ('process point', 50.0), ('measuring site', 48.25), ('accounting measuring', 44.67857142857143), ('accounting measurement', 44.42857142857143), ('document report', 42.5), ('physical property', 40.0), ('measuring principle', 39.25), ('measuring device', 36.05), ('specific device type', 34.8), ('recommended registration sheet form', 33.0), ('proper operation', 32.0), ('calibration', 26.0), ('regular basis', 26.0), ('cycle time', 24.0), ('accounting', 23.428571428571427), ('metrological inspection id number', 20.5), ('registration sheet', 17.0), ('inspection report', 16.0), ('accuracy method', 13.0), ('accuracy', 10.0), ('serial number', 10.0), ('organisation place', 10.0), ('installation date', 8.0)]"
Support Processes,110.1.b Physical Return goods handling,Terminal manager,"Products physically returned to the storage depot (due to e.g. quality or technical problem) must be handled as increase in inventory, with reference made to the initial documents, and registered in the accounting system with a distinguished movement type (for interpretation in the product balance). In case of gaseous products and pentanes, if there is no recognizable movement type, only different variety code is registered in the product balance.
","[('storage depot', 22.0), ('technical problem', 20.0), ('initial document', 18.0), ('accounting system', 16.0), ('recognizable movement type', 13.0), ('movement type', 10.0), ('gaseous product', 9.0), ('product balance', 7.5), ('different variety code', 6.0), ('pentanes', 4.0)]"
Support Processes,110.2. Off-spec product management,Terminal manager,"The basic requirements for handling off-spec products are included in Group Guideline 
QC_1 Quality Control Group Guideline.

The handling of off-spec products and the responsibilities associated therewith must be defined in details in a local regulation, with consideration given to the process and organisational characteristics.

If a product non conformity (off-spec) is observed it must be reported immediately to the responsible manager and the fact and conditions of its generation recorded in a protocol (electronic application such as shift log is equivalent).

The delivery of an off-spec product must be suspended and it must be inspected whether delivery has been made to the customer from the off-spec quality product, if yes, the salesman keeping the contacts with the customer must be notified.

A product deviating from the specification in one parameter may be dispensed in case the delivering organisation has obtained a written deviation permit from the customer.

The off-spec product – or the transport means holding it - must be treated in a way that an incidental delivery or mixing into an on-spec product is prevented.

The cause of all observed non-conformities must be investigated in a documented manner, and on that basis the suitable measures must be taken for handling it and for preventing its re-occurrence. 

When handling a non conforming product the correction of the product quality (up- or downgrading) must be considered as primary goal in all cases in order to minimise the loss generated. The conformity of the corrected product must be verified with a certificate.

The ban to unload the off-spec or corrected product must be approved by the responsible manager in a documented manner (IT application is equivalent).
In case of an off-spec HC product with non conforming quality the product unsuitable for sale must be transported – with a report prepared and after re-qualification –to the refinery tax warehouse and re-processed. 
","[('group guideline qc_1 quality control group guideline', 180.0), ('product non conformity off-spec', 71.62337662337663), ('basic requirement', 58.0), ('protocol electronic application', 54.0), ('off-spec quality product', 51.62337662337662), ('local regulation', 50.0), ('organisational characteristic', 48.0), ('shift log', 40.0), ('off-spec hc product', 35.62337662337662), ('delivering organisation', 34.0), ('off-spec product', 33.62337662337662), ('product quality', 32.90909090909091), ('deviation permit', 32.0), ('incidental delivery', 28.0), ('on-spec product', 27.909090909090907), ('responsible manager', 26.0), ('documented manner application', 26.0), ('observed non-conformities', 24.0), ('corrected product', 20.409090909090907), ('suitable measure', 20.0), ('primary goal', 16.0), ('conformity', 15.0), ('documented manner', 14.0), ('refinery tax warehouse', 3.0)]"
Support Processes,120. Reporting,Terminal manager,"Information to the management on the events defined in the table below and the development and operation of a reporting system is a responsibility of the person in charge of the product storage function.

News and events having an effect on the business activities of RMD 
Major meetings, obligations and their outcome 
Major agreements, more significant claims
Events connected with projects in progress
Break in dispensing in terminals
Extraordinary events
Deviation management
KPI
","[('product storage function', 21.0), ('rmd major meeting obligation', 19.5), ('reporting system', 16.0), ('outcome major agreement', 12.5), ('business activity', 12.0), ('significant claim event', 8.0), ('terminal extraordinary event deviation management kpi', 7.0), ('progress break', 4.0)]"
