,#,Fit Score,Spare Score
Business operation,0.0,0.0,0.6102857142857142
Dispatcher / shift supervisor,47.0,0.4787234042553192,0.5801282051282052
Local Logistics person responsible for transportation,5.0,0.6,0.6291666666666667
Local Retail,1.0,0.0,0.5
Local Sales,3.0,0.3333333333333333,0.6885245901639344
Local product storage management,3.0,0.4666666666666666,0.5606557377049181
Maintenance management,11.0,0.7727272727272727,0.4473684210526316
Operator,4.0,1.0,0.5438016528925621
Quality Control,12.0,0.65,0.5486725663716814
SSC,2.0,0.0,0.0
Scheduler,10.0,0.525,0.5434782608695652
Technical execution,3.0,0.7333333333333334,0.5540983606557378
Terminal manager,5.0,0.8666666666666666,0.6027777777777777
