,#,Fit Score,Spare Score
100. Metrology,3.0,0.4666666666666666,0.5606557377049181
110.1.a Administrative return goods,0.0,0.0,0.6133333333333334
110.1.b Physical Return goods handling,1.0,1.0,0.6102150537634409
110.2. Off-spec product management,1.0,0.6666666666666666,0.6129032258064516
120. Reporting,1.0,1.0,0.6102150537634409
Acceptance/transfer in tank,0.0,0.0,0.542
Calculating necessary transportation capacity,1.0,1.0,0.625
Checking loading conditions  - Train,3.0,0.4166666666666667,0.5450819672131147
Checking loading conditions - Barge,1.0,0.5,0.5423387096774194
Checking loading conditions - Road,2.0,0.625,0.540650406504065
Controlling the quality,4.0,0.625,0.5392561983471075
Controlling the quantity - Barge,4.0,0.3125,0.5495867768595041
Controlling the quantity - Pipeline,1.0,1.0,0.5383064516129032
Controlling the quantity - RTC,4.0,0.5,0.5433884297520661
Controlling the quantity - RoTC,1.0,0.0,0.5463709677419355
Create transportation plan for next day/shift,3.0,0.75,0.5368852459016393
Defining optimal (target) replenishment inventory level,3.0,0.3333333333333333,0.6352459016393442
Ensure available capacity,0.0,0.0,0.628
Execution – autonomous maintenance,0.0,0.0,0.6102857142857142
Execution – routine maintenance,3.0,0.7333333333333334,0.5540983606557378
Inspecting the vehicle,0.0,0.0,0.542
Inventory checking (FS & VMI accounts),1.0,1.0,0.5383064516129032
Inventory checking - managing data quality,0.0,0.0,0.542
Issuing the transport documents - Barge,1.0,0.0,0.5463709677419355
Issuing the transport documents - Train,2.0,0.875,0.5365853658536586
Issuing the transport documents-Road,1.0,1.0,0.5383064516129032
Loading the transport means  - Train,4.0,1.0,0.5438016528925621
Loading the transport means - Barge,0.0,0.0,0.5584
Loading the transport means -Road,0.0,0.0,0.5584
"Making preparations for product reception, reviewing the transport documents",2.0,0.8333333333333333,0.6097560975609757
Monitor FS (VMI) turnover,0.0,0.0,0.628
Notification,0.0,0.0,0.476
Order generation for filling stations (VMI accounts),4.0,0.25,0.5516528925619835
"Plan-Fact evaluation, controlling",1.0,1.0,0.625
Planning and Scheduling,2.0,0.0,0.0
Quality control - Barge,0.0,0.0,0.5584
Quality control - Train,9.0,0.5333333333333334,0.5603448275862069
Quality control- Road,3.0,1.0,0.5475409836065575
"Receiving Retail business plans, forecasted delivery volumes",0.0,0.0,0.496
"Receiving Wholesale business plans, forecasted delivery volumes",1.0,0.0,0.6854838709677419
Receiving actual information about delivery fulfillment from haulers,0.0,0.0,0.542
"Receiving customer orders, forwarding to R&S",2.0,0.5,0.6829268292682927
Receiving daily inventory and sales reports from FSs (and other VMI accounts),1.0,0.0,0.5
Receiving the transport means - Barge,0.0,0.0,0.542
Receiving the transport means - Train,6.0,0.7083333333333334,0.5336134453781513
Receiving the transport means-Road,3.0,1.0,0.5307377049180327
Record keeping and registration in inventory,1.0,0.0,0.5463709677419355
Sales forecasting,2.0,0.5,0.5426829268292683
Sending confirmation about scheduled delivery time to local Sales organisation and/or customers and/or FS,0.0,0.0,0.542
Sending information about transportation plans to haulers and/or terminals,0.0,0.0,0.542
"Transferring the risk of product, registering the discharge  - Train",11.0,0.22727272727272727,0.5723684210526315
"Transferring the risk of product, registering the discharge - Barge",2.0,0.125,0.5487804878048781
"Transferring the risk of product, registering the discharge- Road",0.0,0.0,0.542
Unloading,0.0,0.0,0.5584
Verification,5.0,0.7,0.4666666666666667
Work order selection (RBWS),6.0,0.8333333333333334,0.4579831932773109
